X,Y,KKOD,TEXT,TEXTTYP
2070602.21736447,8471730.26939675,52,Hög-Älgebådan,O
2071436.50338338,8472037.08656694,52,Jomalehällen,O
2070104.81139235,8472301.94132136,71,Älgbådan,O
2068029.3614564,8473134.99909914,194,Verkfjärden,O
2068681.84915478,8473950.13810094,52,Nätören,O
2069570.85690125,8474164.06641141,52,Innerbådan,O
2072082.84108874,8473925.73802266,51,Långbådstenarna,O
2070509.30080563,8474992.82418025,52,Långbådan,O
2071103.78578334,8475648.32528989,51,Blåbådan,O
2069685.78941731,8475979.23472372,52,Gammelboörarna,O
2071257.13730791,8476095.35936782,51,Blåbådhällorna,O
2070837.10594147,8477589.20207615,52,Rönnbådan,O
2073017.77592375,8478011.45670673,51,Jan-Persgrynnan,O
2071851.95025581,8478825.20289145,51,Rönnbådsten,O
2077133.0437191,8479045.63144982,52,Söder-Svensbergen,O
2069811.75733375,8479726.48914587,51,Matsabådan,O
2071887.95979254,8482092.45257115,52,Skurbådan,O
2069825.85834403,8482449.08052704,53,Söderskäret,O
2074854.34235442,8482220.62711469,53,Tålingen,O
2076426.61687284,8482530.27461656,52,Vidbuskskär,O
2072758.57793073,8483515.74785192,52,Lill-Flatbådan,O
2072465.5884994,8483936.80600371,52,Stor-Flatbådan,O
2068395.57815298,8467793.65250402,2,Idön,O
2068568.61253705,8470099.9964749,193,Notfjärden,O
2068935.63348015,8467413.68010682,52,Äspskäret,O
2068243.22495891,8470495.64532487,52,Björkskäret,O
2069662.81716266,8464786.33403387,52,Notören,O
2069984.85015274,8466689.28494001,52,Högastören,O
2069357.61539569,8468059.41640962,52,Hällgrund,O
2070634.26634925,8467945.11392811,52,Hög-Tallören,O
2070334.04675367,8469822.08954139,53,Rävsten,O
2069911.88950006,8465812.95495857,52,Äspörarna,O
2070894.86226308,8464533.20515807,52,Stor-Moören,O
2071391.99498113,8465509.95670059,52,Böte,O
2072038.26251499,8468601.79701025,53,Bjurskäret,O
2071770.68720991,8466791.8833467,52,Hälsingen,O
2072305.69413367,8465985.26379863,52,Tjyvudden,O
2072387.35390635,8470547.14363869,52,Trutbådan,O
2073982.69418104,8466973.71042415,52,Kallesaören,O
2074102.63306352,8466306.52457203,51,Tallören,O
2073958.63676269,8464939.80136651,1,Svedden,O
2074069.11929818,8468099.09146253,53,Högsten,O
2074522.11238739,8469058.51683594,52,Borgören,O
2074298.20582429,8465309.75710372,1,Mossvik,O
2075126.78858374,8467795.30455677,52,Stackskäret,O
2074479.81947171,8464501.19623816,54,Stora Risten,O
2074865.24640351,8465919.65419791,52,Hundören,O
2076119.30479136,8467329.64684575,52,Ytterdagsskäret,O
2076571.60098087,8466586.74124105,52,Rönnören,O
2049147.47243527,8465637.64859982,1,Ängsgrind,O
2050029.15316258,8466335.57483733,1,Åkergärden,O
2051401.99071629,8466487.22057479,1,Karlsäng,O
2044718.85562112,8466979.95561828,3,Söderby,O
2046371.18784536,8467153.58067722,1,Lund,O
2048442.971418,8467653.69364022,75,Jonsgruvorna,O
2044823.74064766,8467972.69149597,1,Byängen,O
2045683.85190687,8468590.94866272,52,Lillträsket,O
